,people_ID,infect_prob
0,5942,52.84131
1,18664,53.008293
2,5603,54.80563
3,5649,55.056293
4,5099,54.652035
5,18749,52.12219
6,5228,57.4103
7,5559,51.578815
8,5220,53.171734
9,5476,52.291092
10,5260,55.311672
11,17638,55.64056
12,18635,53.835133
13,18794,66.84707
14,5263,52.76826
15,17680,67.491234
16,18030,53.026413
17,18090,56.38949
18,18455,55.707268
19,18155,55.96156
20,18116,70.682175
21,18144,53.106194
22,5218,66.92397
23,5386,55.033104
24,18105,64.34313
25,5735,53.717453
26,5900,53.5701
27,18391,53.61555
28,5786,55.281532
29,18639,51.24053
30,17984,54.229187
31,18274,50.72473
32,5425,54.870773
33,6076,56.289314
34,18545,50.383293
35,17697,68.50999
36,6137,51.833336
37,6083,51.709793
38,17730,55.9487
39,5896,63.109295
40,18906,53.070126
41,17808,53.05518
42,6078,54.039368
43,5516,55.763405
44,18093,51.64592
45,6120,53.520466
46,18154,53.836605
47,17935,54.333195
48,18769,64.8487
49,18264,54.29544
50,18076,53.06376
51,18035,54.549633
52,18051,55.70525
53,18676,52.34297
54,5332,52.582336
55,5898,73.97564
56,18370,54.957123
57,17706,55.45991
58,5198,53.03067
59,18360,52.415054
60,18240,52.243305
61,18691,51.723682
62,5768,52.250244
63,18315,52.3468
64,18776,53.377575
65,6225,52.848255
66,17983,70.1543
67,17973,52.687153
68,5805,63.987194
69,5500,53.52315
70,5305,54.44442
71,18243,53.725914
72,5169,52.168777
73,5258,52.005585
74,17810,70.33003
75,5714,53.196995
76,6070,50.889378
77,5959,67.299034
78,18771,52.89669
79,17765,52.697525
80,18822,50.982056
81,17735,71.857605
82,17966,52.44688
83,18861,51.52685
84,18236,54.867844
85,18750,69.12231
86,17809,64.21912
87,6049,52.00134
88,18465,52.08546
89,6201,55.552746
90,18877,52.04701
91,5087,54.069904
92,17742,53.34672
93,17941,63.71646
94,18421,56.253944
95,18489,51.518883
96,6299,70.23665
97,18428,53.0461
98,5563,65.23271
99,18796,66.888985
100,5849,53.64119
101,5661,53.204945
102,5893,53.778088
103,5378,69.33772
104,5622,53.192436
105,5823,54.659264
106,18521,56.20346
107,5502,53.15058
108,18785,54.20726
109,17783,50.53697
110,18424,66.094604
111,18147,51.982746
112,18881,65.63776
113,18851,53.333145
114,17686,51.081573
115,5100,52.040848
116,5213,52.88932
117,18252,51.82175
118,5576,54.304306
119,18050,51.966682
120,5875,54.711823
121,6059,53.31948
122,18599,52.28088
123,5173,54.733593
124,5461,51.8821
125,5151,66.45576
126,5266,55.64978
127,5514,66.76777
128,5224,51.59277
129,18069,55.120422
130,5587,55.496876
131,17874,52.713295
132,5536,54.705605
133,5215,52.30101
134,5400,62.78732
135,17857,53.8529
136,6043,70.503944
137,18330,51.1971
138,18333,52.03749
139,17788,51.61797
140,18332,70.345024
141,17836,51.946346
142,5247,52.093674
143,5922,52.268677
144,18641,71.90078
145,5951,69.315765
146,18807,53.97632
147,18293,70.48075
148,18775,53.081306
149,5601,53.71385
150,5102,54.34004
151,18464,52.675156
152,17713,51.136326
153,18557,51.61802
154,18854,53.18897
155,18401,53.24555
156,18699,73.10932
157,5706,67.53903
158,5747,52.83134
159,5496,54.963177
160,18308,51.32773
161,5345,69.322815
162,18525,52.65046
163,18258,64.68104
164,6062,51.314507
165,17921,52.39527
166,5303,53.032776
167,18592,52.340244
168,5814,53.087273
169,18805,52.881195
170,5910,52.708767
171,5201,52.262585
172,5724,77.389946
173,17693,52.16123
174,5407,51.501404
175,18617,53.86977
176,18173,53.173805
177,18875,52.186424
178,5225,55.196564
179,5858,50.54347
180,5091,53.64
181,5254,56.270576
182,18801,52.372967
183,6009,52.007923
184,18149,52.231537
185,6105,56.29772
186,5974,52.20402
187,17967,65.04367
188,5781,52.485355
189,5834,52.235634
190,17683,52.47251
191,5338,51.525234
192,18400,70.51131
193,18633,52.656372
194,6162,54.113586
195,18598,52.419544
196,5212,55.902374
197,18731,56.013584
198,18177,52.567314
199,5232,70.09483
200,5753,51.265263
201,5118,54.13362
202,18055,67.59803
203,18151,68.31062
204,5572,55.39897
205,18502,52.8513
206,18178,54.958523
207,6276,50.506004
208,5226,75.16758
209,18411,52.17034
210,6134,52.588875
211,5177,50.4855
212,18031,52.101555
213,17853,53.191753
214,6171,53.56657
215,5725,70.77222
216,6282,54.106567
217,18762,54.712906
218,17909,53.155937
219,18357,53.12705
220,5981,51.800797
221,5862,54.32788
222,18461,52.405693
223,5275,56.277462
224,6084,52.7784
225,18403,53.94157
226,17856,54.922894
227,17723,52.393047
228,6103,53.953423
229,17897,53.96214
230,6042,53.680584
